0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-645.95465,63.1167,-4.3889437,12.588353,4.241157,-2.9022617,-5.6718726,-6.6233635,-11.532384,-2.3804142,-1.2910125,-6.802653,1.1827936,-4.6723757,-2.4135501,2.165879,-8.006255,-2.8629198,-2.44791,-2.5724356,-5.8621316,-0.08601394,-3.01738,-4.7407756,-2.6895835,-2.0261843,-5.190275,0.17098024,-4.0623984,-1.1081643,-2.9269888,-2.6940842,-2.6108174,-3.756111,-4.2394943,-2.3900454,-2.5107353,-0.7905223,-2.0516572,-0.81858736,happy
-584.8095,43.184868,-21.301865,8.527553,-6.8743467,-6.161053,-4.6324816,-12.898247,-4.476372,-3.3672566,-5.523036,-2.7173173,-8.498697,-0.8514786,-5.487567,-3.7830944,-2.3817244,-1.672478,-3.205034,0.8978929,-1.6869012,-2.9235706,-1.1655444,-1.2125564,0.2742772,-0.9439514,0.386754,1.5390527,2.2920928,2.461673,-1.7387632,0.82119167,2.0465815,4.4929447,2.1671045,0.47753212,-2.8688428,1.677926,0.79332256,0.8833681,happy
-541.2651,62.418713,-10.422654,4.5837436,3.384929,-0.8195003,-14.047442,-11.29046,-9.412293,-9.156746,3.8089862,-7.4751067,-5.1424446,-1.8909141,-6.132479,-0.93314874,-4.560635,-3.742282,-4.298532,-5.1263375,-5.967112,-4.2129946,-3.7279038,-4.812525,-4.7609415,-1.2411836,-4.73294,-0.49529716,-2.2258446,-2.2918694,-0.9722382,-0.17254114,1.030571,4.179103,2.0380793,1.415861,-2.091364,-4.5010843,-3.4518893,1.928185,happy
-650.4511,46.445557,-16.175938,6.3346863,-7.7138915,-8.613977,-7.7165422,-14.304404,-8.1412525,-4.4529977,-7.792503,-8.840263,-6.3597956,-0.12768939,-7.994286,-1.7045628,-3.85767,-4.543521,-5.5671377,-1.6492237,-3.6101813,-0.15720513,-3.893229,-1.4580995,-1.3409195,-3.2239013,-3.5689187,-1.8213823,-1.8544289,3.395648,1.5729395,4.801905,2.8059766,3.3588188,0.97955483,0.74914104,1.0532491,1.2576083,0.48622456,0.729844,happy
-651.31946,73.875595,-4.27523,21.810318,12.825294,1.961018,-2.8536716,-7.2183022,2.1406214,4.1174436,-0.9834156,3.0579414,5.5896344,-4.595394,1.2667933,6.5478373,-4.0095787,4.8230553,0.88886607,-2.10316,-2.7889853,0.27521238,-1.1562132,0.9614223,-4.4473643,5.7452917,-3.452091,3.5427053,-4.049176,-0.8376101,-1.4988647,3.7807581,0.20730399,0.17363511,-1.5020406,-2.8978388,-2.7430184,0.37762886,0.9184236,0.039944984,happy
-504.37604,46.859726,-13.03364,3.9919806,3.5750587,-8.070893,-4.563449,-14.073465,-6.542047,-1.6981945,-5.5625825,-4.4768972,-2.7842548,-5.355224,-1.744962,-3.709086,-2.0559235,-3.204933,-1.7232971,-0.98530143,-4.9710755,3.3112867,-2.168291,0.54758704,0.18165882,1.7658044,1.5830092,5.162126,3.8164346,3.4432328,3.265449,6.1897697,3.3550706,4.7098517,-0.8177136,2.2077973,-0.604969,3.9498825,2.2701735,2.024987,happy
-671.8112,58.46776,12.806989,13.267467,9.862153,5.294547,1.0133107,-3.1176858,-1.8420779,-2.716324,3.9369767,1.46779,-1.7729572,2.5156705,1.5739232,2.8276737,1.702791,-0.7350749,-0.6808515,1.0092291,-2.8096318,2.0338457,-0.8943668,0.74533576,-0.4055521,1.9720511,-1.472611,2.861483,-2.0561993,1.9510605,-0.6402947,0.7585287,-0.027332135,1.4571495,-1.7654645,1.043366,-0.58754265,2.0836177,0.2428149,2.7002428,happy
-669.861,60.157925,-6.026157,10.191509,8.390519,0.61977994,-3.7273555,-4.2659435,-8.108515,2.0843651,1.6950754,-3.4443831,5.5039115,-1.2909378,-4.623499,3.7135227,-5.4021325,-0.26642135,1.6927415,-3.0350037,-1.5722218,-0.6644287,-1.6969728,0.81964874,-0.3041301,-0.93442404,1.2824011,-0.19075578,-0.8491757,2.4129806,-1.3096979,0.5104727,-0.9179656,0.7622846,-1.0387048,2.0579119,-2.4789913,-0.36580822,-2.667915,-1.7824217,happy
-532.58936,27.924519,-16.828022,10.335332,-9.289375,-15.854253,-5.0316114,-14.072316,-1.9848074,-6.496324,-7.260489,1.498946,-7.534767,-1.2097526,-4.3969727,-0.62243426,2.4477003,9.980957,6.8101892,8.211388,3.8930507,1.4056946,3.1145453,4.2210646,1.596886,3.9506555,0.83736247,0.75657034,-1.2288218,0.155274,-1.4200522,2.1902165,0.28729028,4.8851867,1.9866005,3.43829,0.47348595,0.42533174,0.45792955,0.91743624,happy
-610.1369,61.733067,5.957527,14.201258,11.472875,7.9942775,3.772367,-5.5965853,-3.7501562,2.536602,-0.4505762,-1.1969374,3.949305,-0.3635355,-0.074753225,0.7575957,-2.0495348,-0.6011161,-3.615737,0.46479106,-2.7213516,0.57328695,-3.6759815,0.34328923,-2.0737367,-0.064328514,-2.2513435,-0.9397406,-4.4062634,-1.0239016,-1.360714,1.5253378,1.7987622,2.6990566,1.2932507,2.7565525,2.085441,1.216005,0.9306442,2.178971,happy
-653.7886,74.39236,8.322383,11.348934,3.74832,8.154741,-6.0013266,-5.279405,-7.9763947,-1.2269654,5.643142,-5.6507072,-1.2746406,0.16587698,-0.37039626,0.4862278,-2.489091,0.6207846,2.3526163,0.20978357,-2.090104,0.9358698,-2.3306437,-3.2026017,0.39032733,-0.6358891,-1.2027128,0.9124814,-1.830695,0.7936446,-2.2783,-1.8040812,-1.1144181,-0.705207,-2.1432445,-0.33257434,-3.2809374,-1.7497971,-1.2337049,3.779562,happy
-577.3719,62.684036,-3.1188447,13.21094,7.984893,-6.376448,-1.3685364,-6.1890464,-9.481478,0.801997,-2.6025925,-4.7801085,-0.0656111,-0.79713696,-4.096922,-3.6380115,-3.6329832,-0.9585744,-1.7446557,-3.142045,-3.4276273,-1.0011839,-4.4632144,-3.8982728,-1.9100199,-2.3409913,-2.4643984,-0.98599213,-1.3407912,-0.30491078,-3.1113646,-1.0579188,-2.5480447,-1.8554559,-2.2714005,-0.5574013,-3.0060458,-2.356065,-2.8338435,-1.8152275,happy
-630.66797,56.892548,-8.458186,1.2428772,4.347368,-4.8397074,-9.982683,-11.162387,-10.443463,-1.7770439,-5.8961368,-8.825102,-2.046562,-6.064302,-1.1711004,-7.618906,-4.370801,-2.3861234,-6.843276,-4.200411,-5.1849494,-4.3943157,-4.324844,0.9131895,-4.7939954,0.8279381,-2.2271361,1.582182,-2.050854,2.8340607,1.6327629,3.3767693,2.8759801,5.6098614,4.577688,4.9991293,4.638185,2.9343326,-0.004315844,4.2393017,happy
-659.3542,41.27354,-11.070027,1.1593091,-6.558924,-8.341078,-9.272998,-8.439029,-9.557429,-6.666583,-9.832863,-1.30892,-7.7530394,-5.501436,-1.096182,-7.323761,-4.271627,-4.4387283,-5.982788,-3.6735528,-2.5472243,-0.87682927,-0.09670962,0.4483398,-1.4607105,0.9530257,-2.197846,0.4875638,1.8382596,5.116728,3.364593,3.7426019,2.383271,4.6375284,2.3002715,4.123715,1.835968,0.66597843,0.5312471,0.5457146,happy
-631.407,62.999477,-5.8192096,15.460055,6.526638,-1.5888869,-6.5974174,-4.806329,-13.677246,-1.3645011,0.1333666,-6.366865,3.405448,-3.9404101,-2.185833,3.244837,-7.8401256,-2.765778,0.29460326,-1.7035342,-6.209854,-0.052585628,-3.6594768,-5.5364003,-0.527412,-1.0415535,-3.5720427,-0.56174314,-3.7607331,-1.1737199,-1.6179535,-3.4460373,-1.6974661,-2.9603076,-3.1057088,-1.6062297,-1.1414213,-2.0415545,-2.35345,-1.0229889,happy
-604.6987,45.07209,-17.890179,12.041527,-6.429033,-6.6028,-4.5485315,-12.551144,-3.5843372,-4.1316247,-6.3168325,-1.837649,-7.8100595,0.08196888,-5.0037317,-4.442169,-2.0678327,-1.3386695,-2.7114375,1.8062685,-1.7319448,-2.9901624,-1.596924,-1.578869,-2.012733,-3.0562668,-1.4538941,1.4202684,1.8168415,3.9354851,-0.034306336,2.8958433,3.3296714,5.2488084,2.3432438,2.739342,-0.949762,2.3039608,-0.3930452,0.21118097,happy
-518.686,60.042294,-13.127338,-1.5082798,-3.8239794,-0.08242935,-13.794612,-11.445925,-9.528757,-11.950621,2.020476,-9.762902,-5.4783645,-2.340048,-7.711184,-3.6860259,-7.32073,-3.5890455,-2.467592,-6.1182456,-7.3779135,-2.8694568,-5.14181,-0.86973774,-2.5079024,0.04434561,-1.831131,1.5109904,4.8807397,3.5027497,3.9571326,5.361242,2.1872547,4.0088053,2.938755,2.5839043,-0.7151262,-1.3755853,-3.142355,2.641225,happy
-598.9671,39.636375,-20.287094,5.7025824,-6.8105197,-11.35649,-5.1394033,-15.260244,-8.590343,-2.932332,-7.2160583,-7.563582,-6.929523,-0.39189112,-8.544822,-2.1800506,-1.7461392,1.0837058,0.7691417,4.2227044,-0.3554171,4.3294344,0.77223617,1.5687944,1.1530937,-0.8089775,0.21307462,2.3520427,0.74265856,0.9411089,-2.0781367,1.0515451,1.2055889,1.9796653,-0.17147632,0.11690384,0.05001866,0.89078647,0.11301265,0.41947433,happy
-636.4077,77.046036,-5.4932623,14.967543,8.586665,-6.111676,-7.806065,-8.928538,1.5642297,-1.0575176,-5.099205,1.8876499,2.319913,-3.5239563,0.44489837,-0.65954375,-5.722595,0.91778547,-5.2508397,-2.1832116,-6.4966793,-1.3034748,-1.81359,-1.4235018,-2.0738096,1.3218013,-2.520298,1.2966676,-5.0235367,-3.0654693,-2.9296596,1.573084,-0.8459471,-0.78328,-2.096444,-2.6221766,-3.6210144,-0.6784134,1.7601217,3.957888,happy
-499.60046,46.04002,-10.466601,4.0297976,2.135575,-9.660832,-8.201736,-15.407224,-8.206768,-0.03969564,-8.581496,-6.846234,-1.5078919,-6.88666,-1.0168031,-2.9770374,-6.3082414,-4.3065658,-3.5139084,-1.5923387,1.3283855,8.47474,6.0524926,9.4516325,3.7250319,4.433789,-1.1193185,3.152931,2.3321328,0.39840093,0.9761921,0.36578724,-0.46666327,0.73043007,-0.4819541,0.3349292,-1.5540656,0.9571064,-1.5236356,-0.94910026,happy
